Code,Company
WIN,Winton Land Limited (NS)
WHS,The Warehouse Group Limited
WCO,WasteCo Group Limited
WBC,Westpac Banking Corporation
VTL,Vital Limited
VSL,Vulcan Steel Limited
VNT,Ventia Services Group Limited
VHP,Vital Healthcare Property Trust
VGL,Vista Group International Limited
VCT,Vector Limited (NS)
USV,Smart US Large Value ETF
UST,Smart US Technology (NZD Hedged) ETF
USS,Smart US Small Cap ETF
USM,Smart US Mid Cap ETF
USH,Smart US 500 (NZD Hedged) ETF
USG,Smart US Large Growth ETF
USF,Smart US 500 ETF
USA,Smart US ESG ETF
TWR,Tower Limited
TWL,Trade Window Holdings Limited
TWH,Smart Total World (NZD Hedged) ETF
TWF,Smart Total World ETF
TRU,TruScreen Group Limited
TRA,Turners Automotive Group Limited
TNZ,Smart NZ Top 10 ETF
THL,Tourism Holdings Limited
TGG,T&G Global Limited
TEM,Templeton Emerging Markets Investment Trust Plc
TAH,Third Age Health Services Limited
SVR,Savor Limited
SUM,Summerset Group Holdings Limited
STU,Steel & Tube Holdings Limited
SPY,Smartpay Holdings Limited
SPN,South Port New Zealand Limited
SPK,Spark New Zealand Limited
SPG,Stride Property Ltd & Stride Investment Management Ltd (NS)
SML,Synlait Milk Limited
SMI,Santana Minerals Limited
SKT,Sky Network Television Limited
SKO,Serko Limited
SKL,Skellerup Holdings Limited
SKC,SkyCity Entertainment Group Limited (NS)
SEK,Seeka Limited
SDL,Solution Dynamics Limited
SCT,Scott Technology Limited
SCL,Scales Corporation Limited
SAN,Sanford Limited (NS)
RYM,Ryman Healthcare Limited
RUA,Rua Bioscience Limited
RTO,RTO Limited
RBD,Restaurant Brands New Zealand Limited
RAK,Rakon Limited
RAD,Radius Residential Care Limited
PYS,PaySauce Limited
POT,Port of Tauranga Limited
PLP,Private Land and Property Fund
PHLWA,Promisia Healthcare Limited
PHL,Promisia Healthcare Limited
PGW,PGG Wrightson Limited
PFI,Property for Industry Limited
PEB,Pacific Edge Limited
PCT,Precinct Properties NZ & Precinct Properties Investments Ltd
OZY,Smart Australian Top 20 ETF
OCA,Oceania Healthcare Limited
NZX,NZX Limited
NZT,Smart S&P/NZX 20 ETF
NZM,NZME Limited
NZLWA,New Zealand Rural Land Company Limited (NS)
NZL,New Zealand Rural Land Company Limited (NS)
NZK,New Zealand King Salmon Investments Limited
NZG,Smart S&P/NZX 50 ETF
NZC,Smart NZ Cash ETF
NZB,Smart NZ Bond ETF
NWF,NZ Windfarms Limited
NTL,New Talisman Gold Mines Limited
NPH,Napier Port Holdings Limited
NPF,Smart NZ Property ETF
NGB,Smart S&P/NZX NZ Government Bond ETF
MZY,Smart Australian Mid Cap ETF
MPG,Metro Performance Glass Limited
MOV,Move Logistics Group Limited
MNW,Manawa Energy Limited
MMH,Marsden Maritime Holdings Limited
MLNWG,Marlin Global Limited
MLN,Marlin Global Limited
MHJ,Michael Hill International Limited
MFT,Mainfreight Limited
MFB,My Food Bag Group Limited
MEL,Meridian Energy Limited (NS)
MEE,Me Today Limited
MDZ,Smart NZ Mid Cap ETF
MCY,Mercury NZ Limited (NS)
MCKPA,Millennium & Copthorne Hotels New Zealand Limited
MCK,Millennium & Copthorne Hotels New Zealand Limited
LIV,Smart Healthcare Innovation ETF
LIC,Livestock Improvement Corporation Limited (NS)
KPG,Kiwi Property Group Limited
KMD,KMD Brands Limited
KFLWI,Kingfish Limited
KFL,Kingfish Limited
JPN,Smart Japan ESG ETF
IPR,Iperion Limited
IPL,Investore Property Limited (NS)
INF,Smart Global Infrastructure ETF
IKE,ikeGPS Group Limited
IFT,Infratil Limited
HLG,Hallenstein Glasson Holdings Limited
HGH,Heartland Group Holdings Limited
HFL,Henderson Far East Income Limited
GXH,Green Cross Health Limited
GTK,Gentrack Group Limited
GPR,Smart Global Property ETF
GNE,Genesis Energy Limited (NS)
GMT,Goodman Property Trust (NS)
GLD,Smart Gold ETF
GGB,Smart Global Government Bond ETF
GEN,General Capital Limited
GBF,Smart Global Bond ETF
FWL,Foley Wines Limited
FSF,Fonterra Shareholders' Fund (NS)
FRW,Freightways Group Limited
FPH,Fisher & Paykel Healthcare Corporation Limited
FNZ,Smart NZ Top 50 ETF
FCT,F&C Investment Trust PLC
FCG,Fonterra Co-operative Group Limited (NS)
FBU,Fletcher Building Limited
EUG,Smart Europe ESG ETF
EUF,Smart Europe ETF
ESG,Smart Global ESG ETF
ERD,EROAD Limited
ENS,Enprise Group Limited
EMG,Smart Emerging Markets ESG ETF
EMF,Smart Emerging Markets ETF
EBO,Ebos Group Limited
DOW,Downer EDI Limited
DIV,Smart NZ Dividend ETF
DGL,Delegat Group Limited
CVT,Comvita Limited
CRP,Chatham Rock Phosphate Limited
CO2,Carbon Fund
CNU,Chorus Limited (NS)
CMO,The Colonial Motor Company Limited
CHI,Channel Infrastructure NZ Limited
CEN,Contact Energy Limited
CDI,CDL Investments New Zealand Limited
CCC,Cooks Coffee Company Limited
BTC,Smart Bitcoin ETF
BRW,Bremworth Limited
BRM,Barramundi Limited
BPG,Black Pearl Group Limited
BOT,Smart Automation and Robotics ETF
BLT,Blis Technologies Limited
BIT,The Bankers Investment Trust Plc
BIF,Booster Innovation Fund
BGP,Briscoe Group Limited
BFG,Burger Fuel Group Limited
BAI,Being AI Limited
AUS,Smart Australian Top 200 ETF
AUE,Smart Australian ESG ETF
ATM,The a2 Milk Company Limited
ASR,Smart Australian Resources ETF
ASP,Smart Australian Property ETF
ASF,Smart Australian Financials ETF
ASD,Smart Australian Dividend ETF
ARG,Argosy Property Limited
ARB,ArborGen Holdings Limited
APL,Asset Plus Limited
APA,Smart Asia Pacific ETF
AOF,AoFrio Limited
ANZ,ANZ Group Holdings Limited
ALF,Allied Farmers Limited (NS)
AIR,Air New Zealand Limited (NS)
AIA,Auckland International Airport Limited
AGL,Accordant Group Limited
AGG,Smart Global Aggregate Bond ETF
AFT,AFT Pharmaceuticals Limited
AFI,Australian Foundation Investment Company Limited
AFC,AFC Group Holdings Limited
2CC,2 Cheap Cars Group Limited
